Name,FF_max_velo,FC_max_velo,SI_max_velo,mlbID,CH_release_extension,CH_release_pos_x,CH_release_pos_z,CH_release_speed,CH_release_spin_rate,CH_release_extension_std,CH_release_pos_x_std,CH_release_pos_z_std,CH_pitch_type,CH_percentage,CU_release_extension,CU_release_pos_x,CU_release_pos_z,CU_release_speed,CU_release_spin_rate,CU_release_extension_std,CU_release_pos_x_std,CU_release_pos_z_std,CU_pitch_type,CU_percentage,FC_release_extension,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,FC_release_extension_std,FC_release_pos_x_std,FC_release_pos_z_std,FC_pitch_type,FC_percentage,FF_release_extension,FF_release_pos_x,FF_release_pos_z,FF_release_speed,FF_release_spin_rate,FF_release_extension_std,FF_release_pos_x_std,FF_release_pos_z_std,FF_pitch_type,FF_percentage,SI_release_extension,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,SI_release_extension_std,SI_release_pos_x_std,SI_release_pos_z_std,SI_pitch_type,SI_percentage,SL_release_extension,SL_release_pos_x,SL_release_pos_z,SL_release_speed,SL_release_spin_rate,SL_release_extension_std,SL_release_pos_x_std,SL_release_pos_z_std,SL_pitch_type,SL_percentage,ff max-avg,fc max-avg,si max-avg,TJS
Jose Alvarado,100.9,99.1,102.5,621237,,,,,,,,,,,6.058638743,0.637015707,6.496020942,85.29502618,2499.32021,0.364524255,0.378821206,0.144447103,382.0,6.955571741,6.640584166,1.038220532,6.600730038,92.86243346,2222.764888,0.323035073,0.373935868,0.161374186,1315.0,23.94391843,6.582520325,0.561788618,6.515406504,98.04878049,2106.418699,0.268744909,0.253454605,0.139902435,246.0,4.479242535,6.729336735,0.935514229,6.560039448,98.44781629,2098.0482,0.256690264,0.326383788,0.148411349,3549.0,64.6212673,,,,,,,,,,,2.85121951,6.23756654,4.05218371,0
Joe Kelly,102.2,,102.2,523260,5.991486811,-1.716571767,5.510676157,86.88647687,2029.366587,0.271737013,0.179968302,0.184520032,843.0,9.671867829,5.54874552,-1.693598616,5.7683391,80.70934256,2738.379061,0.273381838,0.225985937,0.166320503,289.0,3.315741166,,,,,,,,,,,6.072391653,-1.656412274,5.520723839,97.53481511,2183.158935,0.288520184,0.184947401,0.206300473,2542.0,29.16475447,6.120252613,-1.719750752,5.375135367,97.34546627,2122.132488,0.255030652,0.172317739,0.22992609,2327.0,26.69802662,5.660052219,-1.743324786,5.695931624,88.4282906,2565.01533,0.309850471,0.212513506,0.221837791,1170.0,13.4235888,4.66518489,,4.85453373,0
Noah Syndergaard,102.0,,102.1,592789,6.795510455,-0.980467117,6.292722803,90.23079287,1702.07311,0.353459584,0.272825908,0.153182793,1627.0,14.43783832,6.265168539,-0.887946429,6.32890625,81.80528274,2166.618658,0.392174518,0.24619023,0.147379422,1344.0,11.92652409,,,,,,,,,,,6.674368761,-0.823626822,6.468673469,98.00915452,2180.24141,0.347786115,0.320197283,0.162164803,3430.0,30.43748336,6.614553082,-0.831935795,6.460764045,97.74449438,2128.916859,0.353198818,0.312046422,0.165414741,3115.0,27.64220428,6.389601386,-0.807369027,6.473362119,90.89591249,2107.099542,0.338026254,0.30204304,0.148507485,1737.0,15.41396752,3.99084548,,4.35550562,1
Kelvin Herrera,102.0,94.8,101.8,516969,6.145517241,-2.139328018,5.777835991,89.37118451,1798.867903,0.29373496,0.448143139,0.152900085,878.0,18.26503016,5.469014085,-1.948819444,6.036111111,81.93888889,2651.5,0.268482232,0.305862295,0.142961245,144.0,2.995631371,5.843137255,-2.17372549,5.952843137,91.25294118,2290.235294,0.200252219,0.416462998,0.084658633,102.0,2.121905554,6.03115942,-1.714174497,6.094514541,97.62747204,2252.50984,0.277845481,0.458328359,0.182280329,2235.0,46.49469524,6.100537634,-1.773674121,6.041948882,96.85228967,2191.376483,0.299029163,0.487681544,0.173483479,939.0,19.5340129,5.511089109,-1.852986248,5.951218075,83.52789784,2581.711364,0.296400031,0.486245177,0.151174176,509.0,10.58872478,4.37252796,3.54705882,4.94771033,0
Javy Guerra,101.1,,101.7,642770,6.309090909,-1.767272727,5.469090909,91.87272727,1741.636364,0.11361818,0.156977126,0.096690697,11.0,0.976042591,,,,,,,,,,,,,,,,,,,,,6.049779736,-1.647444934,5.615286344,97.72555066,2320.903084,0.219285737,0.467675092,0.158893525,227.0,20.14196983,5.937913043,-1.7348,5.386191304,97.85182609,2138.94087,0.245565179,0.435433126,0.198468698,575.0,51.02040816,5.999609375,-1.577470817,5.575914397,88.19610895,2414.692913,0.243905807,0.310578191,0.150372066,257.0,22.80390417,3.37444934,,3.84817391,0
Trevor Rosenthal,101.7,,101.4,572096,5.936907731,-0.684209246,6.044671533,88.00559611,1625.658291,0.291606608,0.261541481,0.122285458,411.0,14.56930167,5.515625,-0.551818182,6.205151515,80.83333333,1983.206897,0.338982705,0.29264371,0.129086241,33.0,1.169797944,,,,,,,,,,,5.913467049,-0.820470146,6.102364833,98.24917724,2415.345261,0.294316468,0.295417757,0.117316749,2127.0,75.39879475,,,,,,,,,,,5.776150628,-0.735271967,6.01790795,86.97154812,2180.146893,0.2224204,0.29031537,0.107092083,239.0,8.472172988,3.45082276,,,1
Jason Foley,100.8,,101.3,671345,6.718099548,-2.113257919,5.477692308,90.84343891,1616.737557,0.217919937,0.154405816,0.129111,221.0,8.444784104,,,,,,,,,,,,,,,,,,,,,6.56875,-2.044375,5.715277778,96.46041667,2188.640845,0.151666154,0.285382136,0.154258635,144.0,5.50248376,6.62468544,-1.889982025,5.664194128,96.72768125,2028.401208,0.203893398,0.209186358,0.132037258,1669.0,63.77531525,6.712280702,-1.780292398,5.819980507,87.80253411,2238.91945,0.251529041,0.199679705,0.117802966,513.0,19.6025984,4.33958333,,4.57231875,0
J. C. Ramirez,100.5,,101.1,500724,6.055263158,-1.756842105,5.917105263,88.27368421,1316.828571,0.378972557,0.286442346,0.153339544,38.0,0.967167218,6.003485255,-1.559088472,6.069731903,78.930563,2396.753351,0.271026866,0.186536702,0.124897519,373.0,9.493509799,,,,,,,,,,,6.45079929,-2.013121132,5.941794872,96.67524315,2151.812099,0.234253956,0.372560956,0.171264057,1131.0,28.78595062,6.417105263,-1.71078125,5.917631579,95.77047697,2054.924155,0.233992386,0.235712313,0.137727527,1216.0,30.94935098,6.11471343,-1.816720751,6.035559351,87.81315115,2215.46303,0.205379137,0.299045787,0.142018142,1171.0,29.80402138,3.82475685,,5.32952303,1
Sandy Alcantara,101.5,,101.1,645261,6.004244306,-2.12116816,6.023301172,91.15906272,1993.348202,0.266154161,0.220915288,0.115290163,2902.0,21.43754155,5.454318618,-2.223071017,6.036372361,82.89232246,2444.827655,0.426553232,0.232262643,0.117960585,521.0,3.84871094,,,,,,,,,,,5.89636954,-2.228863972,5.994670994,97.15671289,2271.578978,0.249656005,0.262414616,0.123536722,3389.0,25.03508902,5.911667993,-2.238878876,5.987792208,96.96533263,2336.022269,0.248233338,0.278934477,0.125787982,3773.0,27.87175888,5.800033887,-2.197533875,5.968600949,88.86395664,2385.987076,0.320745951,0.261205431,0.125375643,2952.0,21.80689961,4.34328711,,4.13466737,1
Robert Suarez,101.5,99.7,100.9,663158,6.756284153,-1.44489071,5.974234973,89.65491803,1788.497268,0.164529603,0.169404643,0.142432255,366.0,21.30384168,6.636363636,-1.333333333,5.982424242,80.27575758,2134.46875,0.159722771,0.172294564,0.087286536,33.0,1.920838184,6.661111111,-1.482083333,6.000277778,93.7,2210.152778,0.125097771,0.169680209,0.107204848,72.0,4.190919674,6.7015625,-1.2696875,6.177421875,98.20412946,2367.718121,0.172584082,0.196152126,0.132221857,896.0,52.15366705,6.796307692,-1.309815385,6.077876923,97.26738462,2275.913846,0.170471109,0.176414818,0.149996246,325.0,18.91734575,6.673076923,-1.308846154,6.008076923,86.47692308,2085.884615,0.140164738,0.156238969,0.128250356,26.0,1.51338766,3.29587054,6.0,3.63261538,0
