"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
25820,543037,"Cole, Gerrit",25820,100,0.221,0.146,0.291,0.367,0.278,0.283,0.222,1313,5932,88.2,12.3,2380,92.4,92.21,3618,12600,13201,-0.20000000000000284,6.25,111,153,116,150,295,320,292,"214.2","-214.2",,
24962,453286,"Scherzer, Max",24962,100,0.203,0.151,0.273,0.354,0.264,0.26,0.198,1184,5838,87.1,18.5,2310,89.5,88.96,4169,13030,11918,-0.5,6.06,112,152,114,148,295,314,294,"269.3","-269.3",,
24117,502043,"Gibson, Kyle",24117,100,0.266,0.156,0.307,0.421,0.325,0.328,0.264,1500,5646,88.2,7.3,2153,88.3,88.81,2754,11053,13040,0.5,6.59,108,150,114,147,295,320,293,"-49.8","49.8",,
23358,425844,"Greinke, Zack",23358,100,0.241,0.151,0.279,0.392,0.288,0.302,0.249,1383,5727,87.7,10.7,2245,85.9,85.33,2585,10868,12478,-0.6000000000000085,5.87,112,153,115,150,298,323,298,"139.1","-139.1",,
22850,592332,"Gausman, Kevin",22850,100,0.255,0.159,0.318,0.414,0.31,0.312,0.249,1353,5315,88.3,12,2055,90.2,90.16,3197,11489,11358,0,6.33,109,154,116,148,296,319,294,"64.3","-64.3",,
22681,571578,"Corbin, Patrick",22681,100,0.273,0.175,0.323,0.448,0.332,0.336,0.269,1504,5515,89.3,9.1,2177,87.1,87.45,2772,10730,11944,0.4000000000000057,6.48,108,151,114,147,304,322,297,"-76.1","76.1",,
22367,605400,"Nola, Aaron",22367,100,0.231,0.148,0.294,0.379,0.287,0.283,0.225,1234,5348,87.7,10.3,2168,86.7,87.09,2807,10501,11853,0.3999999999999915,6.63,110,151,114,148,294,321,292,"127.3","-127.3",,
21904,458681,"Lynn, Lance",21904,100,0.242,0.157,0.295,0.399,0.307,0.3,0.23,1176,4868,87.7,13.4,2377,90.9,90.8,2716,10612,11270,-0.10000000000000853,6.18,110,151,113,148,295,319,296,"52.7","-52.7",,
21506,434378,"Verlander, Justin",21506,100,0.204,0.149,0.256,0.353,0.263,0.269,0.209,1005,4925,87.8,18.6,2540,90,89.14,2932,10898,10600,-0.9000000000000057,5.92,111,153,115,149,294,320,292,"231.2","-231.2",,
21132,543294,"Hendricks, Kyle",21132,100,0.247,0.149,0.285,0.396,0.297,0.302,0.249,1282,5200,86,10.6,2089,83.9,83.21,2121,9683,11431,-0.7000000000000028,5.76,112,152,112,150,295,318,294,"93.2","-93.2",,
20941,500779,"Quintana, Jose",20941,100,0.257,0.145,0.312,0.403,0.309,0.313,0.256,1246,4844,88.2,11.8,1995,87.4,87.45,2052,9473,11443,0.09999999999999432,6.39,109,151,110,147,299,317,291,"33.5","-33.5",,
20842,592662,"Ray, Robbie",20842,100,0.232,0.18,0.302,0.412,0.314,0.309,0.228,1039,4477,89.7,14.7,2208,90.3,90.15,2947,9803,11021,-0.09999999999999432,6.2,108,152,115,148,300,322,295,"54.2","-54.2",,
